id,article_id,canonical_topic,keywords,intent,audience,prerequisites,complexity,enriched_at,llm_model
148,10015,GPU-Accelerated Job Scheduling,"{""GPU-accelerated jobs"",Quartz,""Big Red 200"",IU,""deep learning"",""gpu-capable applications""}",how-to,researcher,{},intermediate,2026-02-02 11:25:08.791241,llama3.1:8b
149,10041,Data Centers,"{""Data Center"",Virtualization,""Colocation Services"",""Leasing Data Center Space"",""IU Data Center"",UITS}",overview,faculty,{},intermediate,2026-02-02 11:25:24.171027,llama3.1:8b
150,10043,Remote Computing,"{""X Forwarding"",SSH,""Remote Computing"",""Graphical Applications"",""IU Research Supercomputers""}",how-to,student,"{""What is SSH"",""Understanding IU's research supercomputers""}",intermediate,2026-02-02 11:25:39.696113,llama3.1:8b
151,10049,IU RDC Databases,"{postgreSQL,""iu rdc"",""database access""}",how-to,unknown,"{""IU RDC account"",""basic database knowledge""}",intermediate,2026-02-02 11:25:40.708141,llama3.1:8b
152,10053,Jupyter Optimization,"{JUmPER,""Jupyter Notebook"",""Performance Monitoring"",""System Resources"",""IPython Extension""}",how-to,unknown,"{""basic knowledge of Jupyter Notebook"",""IPython extension installation""}",intermediate,2026-02-02 11:26:09.460976,llama3.1:8b
153,10062,IT Support,"{""Tier 2 Support"",UITS,""IU community"",""IT services""}",overview,admin,{},unknown,2026-02-02 11:26:20.067473,llama3.1:8b
154,10072,Unix,"{Unix,""operating system"",POSIX,""IEEE Std 1003.1 - 2008""}",overview,general,{},intermediate,2026-02-02 11:26:32.030677,llama3.1:8b
155,9896,Apptainer,"{Apptainer,""container solution"",""reproducible science"",""Linux-based operating system environments""}",overview,researcher,"{""basic knowledge of Linux"",""understanding of containerization""}",intermediate,2026-02-02 11:26:46.908593,llama3.1:8b
156,10076,Linaro Forge,"{""Linaro Forge"",debugging,profiling,""performance optimization"",""parallel applications"",""DTT debugger"",""MAP profiler""}",overview,researcher,{},intermediate,2026-02-02 11:27:02.215309,llama3.1:8b
157,9833,Research Computing,"{""High Performance Computing"",""Research Computing Systems"",""Software Management"",""Data Transfers"",Visualization,""HIPAA Compliance""}",overview,researcher,{},intermediate,2026-02-02 11:27:16.355742,llama3.1:8b
158,11681,Google at IU Storage Management,"{""Google at IU"",""photo storage"",""Google Drive quota""}",how-to,student,{},beginner,2026-02-02 11:27:27.204481,llama3.1:8b
159,11682,Android Security,"{""Android OS"",""device security"",""password protection"",encryption}",overview,unknown,"{""Basic knowledge of Android device settings""}",intermediate,2026-02-02 11:27:39.049458,llama3.1:8b
160,11686,Mobile Device Security,"{iPhone,iPad,""iPod touch"",""Passcode Lock"",""data encryption""}",overview,general,{},beginner,2026-02-02 11:27:50.451324,llama3.1:8b
161,9935,IU Computing Accounts,"{""IU computing accounts"",""Indiana University technology resources"",""account types""}",overview,student,{},beginner,2026-02-02 11:27:51.464286,llama3.1:8b
162,11689,VMware Tools,"{""VMware tools"",""virtual machines"",""Intelligent Infrastructure""}",how-to,admin,"{""familiarity with Intelligent Infrastructure environment"",""basic understanding of virtual machine configuration""}",intermediate,2026-02-02 11:28:14.565604,llama3.1:8b
163,11690,IU Data Protection,"{AllDisks,""backup type"",""Intelligent Infrastructure (II)"",""Data Protection""}",how-to,admin,"{""Interacting with the IU self-service portal"",""Understanding IU's Data Protection options""}",intermediate,2026-02-02 11:28:28.718802,llama3.1:8b
164,9811,SLATE,"{SLATE,""Indiana University"",""storage system""}",reference,faculty,{},unknown,2026-02-02 11:28:38.545027,llama3.1:8b
165,9958,Research Technologies,"{""RT Projects"",""Research Technologies"",""cyberinfrastructure resources"",""project management""}",how-to,unknown,{},intermediate,2026-02-02 11:28:50.25556,llama3.1:8b
166,9853,SLATE-Scratch High Performance File System,"{SLATE-Scratch,""High Performance Storage"",""Indiana University""}",policy,admin,{},unknown,2026-02-02 11:29:01.545963,llama3.1:8b
167,11692,Intelligent Infrastructure Virtual Machines,"{""Intelligent Infrastructure"",""II virtual machines"",""backup type"",""VM protection""}",how-to,admin,"{""Log into the self-service portal"",""Access the Intelligent Infrastructure self-service portal"",""Determine remaining resources in an II resource""}",intermediate,2026-02-02 11:29:17.07741,llama3.1:8b
168,11694,IU Network Configuration,"{DNS,""name servers"",""client configuration"",""IU network""}",reference,unknown,"{""Basic understanding of IU network infrastructure""}",intermediate,2026-02-02 11:29:31.044869,llama3.1:8b
169,3322,SFTP,"{""SSH File Transfer Protocol"",""Secure Shell protocol"",SCP,""file transfer"",""remote file access""}",overview,unknown,{},intermediate,2026-02-02 11:29:42.989204,llama3.1:8b
170,10000,IU Research Cyberinfrastructure,"{""RT Projects"",""Indiana University"",""cyberinfrastructure resources"",""resource allocations""}",overview,unknown,{},intermediate,2026-02-02 11:29:55.45373,llama3.1:8b
171,9880,Sensitive Institutional Data,"{""sensitive institutional data"",PHI,HIPAA,""UITS Research Technologies""}",reference,researcher,"{""Understanding of institutional data classification"",""Familiarity with HIPAA regulations""}",intermediate,2026-02-02 11:29:56.465337,llama3.1:8b
172,10677,IU Policies,"{""Indiana University policies"",""student accounts"",""data retention"",""software usage""}",overview,student,{},intermediate,2026-02-02 11:30:21.574356,llama3.1:8b
173,9965,GIS Services,"{GIS,""IU campuses"",""technical support"",""software installation""}",overview,unknown,{},unknown,2026-02-02 11:30:32.498396,llama3.1:8b
174,2098,File Transfer,"{HTAR,SDA,""file transfer"",archive,encryption,PHI}",how-to,researcher,"{""understanding of SDA account"",""knowledge of file encryption basics""}",intermediate,2026-02-02 11:30:49.134668,llama3.1:8b
175,10228,MySQL,"{MySQL,""account names"",RDC,""access privileges""}",overview,researcher,{},intermediate,2026-02-02 11:30:59.515438,llama3.1:8b
176,10235,Supercomputer Performance and Storage,"{""supercomputer performance"",""storage capacity"",FLOPS,bytes,""orders of magnitude""}",overview,researcher,{},intermediate,2026-02-02 11:31:11.556379,llama3.1:8b
177,10241,Web Accessibility,"{WCAG,""web accessibility"",designers,developers,""information architects""}",overview,general,{},intermediate,2026-02-02 11:31:22.495411,llama3.1:8b
178,10023,Python Programming,"{Virtualenv,conda,""customized Python environment"",""package installation""}",overview,student,"{""basic understanding of Python""}",intermediate,2026-02-02 11:31:35.16601,llama3.1:8b
179,10226,MySQL at IU RDC,"{MySQL,""SSL connections"",""IU RDC"",""encrypted connections""}",overview,unknown,"{""basic understanding of MySQL"",""account setup in IU RDC""}",intermediate,2026-02-02 11:31:48.55691,llama3.1:8b
180,10233,SLURM,"{PCP,""Parallel Command Processor"",""serial jobs"",""job bundling"",""IU research supercomputers""}",how-to,researcher,"{""understanding of IU research supercomputers"",""basic knowledge of job scheduling""}",intermediate,2026-02-02 11:32:03.341472,llama3.1:8b
181,9875,Data Storage,"{""dedicated file storage services"",""IU storage components"",""sensitive institutional data"",""protected health information"",""research data""}",overview,unknown,{},intermediate,2026-02-02 11:32:04.353643,llama3.1:8b
182,10242,Web Accessibility,"{wireframes,""accessibility annotations"",""assistive technology"",""screen readers""}",overview,unknown,"{""basic understanding of web development and accessibility concepts""}",intermediate,2026-02-02 11:32:30.497573,llama3.1:8b
183,10253,Knowledge Base Standards,"{""IU Knowledge Base"",""standard terms"",spellings,capitalization,punctuation}",reference,general,{},beginner,2026-02-02 11:32:42.0056,llama3.1:8b
184,1520,Advanced Computing and Research Outreach,"{""advanced computing"",""research outreach"",training,workshops,seminars,""cyberinfrastructure tours""}",overview,unknown,{},unknown,2026-02-02 11:32:55.098626,llama3.1:8b
185,11701,NTLM Authentication,"{NTLM,NTLMv2,""Local Security Policy"",""registry edit""}",troubleshooting,unknown,"{""Windows authentication"",""IU username and passphrase""}",intermediate,2026-02-02 11:33:08.304539,llama3.1:8b
186,11008,Docker,"{Docker,""container best practices"",""resource limits"",""root user"",""port exposure""}",reference,unknown,"{""understanding of containerization"",""basic knowledge of Docker""}",intermediate,2026-02-02 11:33:21.425598,llama3.1:8b
187,2439,IU Computing Accounts,"{""Indiana University"",""computing accounts"",eligibility,affiliation,""School of Medicine"",collaboration}",reference,faculty,"{""What is IU affiliation"",""Purpose of IU computing account""}",beginner,2026-02-02 11:33:35.642901,llama3.1:8b
189,10265,IU HPC,"{Slack,""Indiana University High-Performance Computing"",""IU email address""}",overview,researcher,{},beginner,2026-02-02 11:33:57.078593,llama3.1:8b
190,10268,SLURM,"{R,""R packages"",CRAN,""IU research supercomputers""}",overview,unknown,"{""basic knowledge of R"",""understanding of IU research supercomputer environment""}",intermediate,2026-02-02 11:34:10.871797,llama3.1:8b
191,10271,R Programming on IU HPC,"{""R programming"",""IU's research supercomputers"",""external dependencies"",""HPC environment""}",troubleshooting,researcher,"{""installing R packages"",""IU's research supercomputers""}",intermediate,2026-02-02 11:34:11.883953,llama3.1:8b
192,11703,Windows Configuration,"{startup,registry,shortcuts,""automatic programs""}",how-to,general,{},intermediate,2026-02-02 11:34:36.260052,llama3.1:8b
193,10273,IUware Software Installation,"{IUware,""software installation"",""research software"",""Common issues"",""installation solutions""}",reference,unknown,{},intermediate,2026-02-02 11:34:50.101773,llama3.1:8b
194,11764,Denodo Scheduler,"{Denodo,scheduler,""job migration"",IU,DEV,STG,PRD}",how-to,researcher,"{""familiarity with Denodo Scheduler"",""access to Solution Manager""}",intermediate,2026-02-02 11:35:06.427653,llama3.1:8b
195,2458,Tableau Server Administration,"{""Tableau Server"",""data connectors"",deprecated}",reference,admin,"{""Understanding Tableau Server setup and configuration""}",intermediate,2026-02-02 11:35:17.723521,llama3.1:8b
196,2452,IU Retirement,"{""IU retirement"",""official IU retirees"",""retiree status and benefits""}",reference,general,"{""understanding of IU policies"",""knowledge of employee benefits""}",unknown,2026-02-02 11:35:30.040084,llama3.1:8b
197,7743,Research Computing,"{""Peebles Memorial Lecture"",""IU Pervasive Technology Institute"",""computing resources"",cyberinfrastructure}",overview,researcher,{},unknown,2026-02-02 11:35:42.099641,llama3.1:8b
198,10274,Scientific Computing,"{""Peebles Memorial Lecture"",""Information Technology"",""Paul Messina"",""Argonne Leadership Computing Facility (ALCF)"",""Scientific computing""}",overview,unknown,{},advanced,2026-02-02 11:35:56.886018,llama3.1:8b
199,10280,SLURM,"{""batch queuing systems"",""shell scripts"",""interactive commands"",""error handling""}",how-to,researcher,"{""understanding shell scripting"",""knowledge of batch queuing systems""}",intermediate,2026-02-02 11:36:10.253938,llama3.1:8b
200,11704,Exchange Online,"{""Exchange Online"",IMAP,""email configuration"",""Two-Step Login (Duo)"",authenticaton}",reference,faculty,{},intermediate,2026-02-02 11:36:22.396293,llama3.1:8b
201,10281,Batch Jobs,"{""batch mode"",""job script"",""shell script""}",overview,general,{},intermediate,2026-02-02 11:36:23.405121,llama3.1:8b
202,11769,Kubernetes Batch Jobs,"{Kubernetes,""Batch Jobs"",""Short-lived tasks"",Jobs,Cronjobs}",overview,unknown,"{""basic knowledge of Kubernetes""}",intermediate,2026-02-02 11:36:47.350546,llama3.1:8b
203,9921,Research Desktop (RED),"{""Research Desktop"",RED,""fair share policy"",""connection policies"",""monthly maintenance window""}",overview,researcher,"{""understanding of Unix/Linux commands"",""familiarity with compute-intensive applications""}",intermediate,2026-02-02 11:37:01.461079,llama3.1:8b
204,1528,Posit Connect,"{""Posit Connect"",R,Python,""interactive applications"",""web deployment""}",overview,faculty,"{""familiarity with R or Python""}",intermediate,2026-02-02 11:37:15.082219,llama3.1:8b
205,10282,Research Technologies,"{""chargeback services"",""research technologies"",policy}",reference,faculty,{},intermediate,2026-02-02 11:37:24.804906,llama3.1:8b
206,1461,Scholarly Data Archive (SDA),"{""Indiana University"",""research data"",archiving,""storage service""}",overview,unknown,{},intermediate,2026-02-02 11:37:36.754541,llama3.1:8b
207,10286,Support Request,"{""support requests"",""Tier 2 Support"",Desktop,Server,Mobility,DSM}",reference,admin,"{""Knowledge of UITS services"",""Understanding of support request process""}",intermediate,2026-02-02 11:37:50.457735,llama3.1:8b
208,10290,IU IT Support,"{IU,UITS,""IT support"",""local support"",""technical assistance""}",overview,unknown,{},intermediate,2026-02-02 11:38:01.817204,llama3.1:8b
209,2128,RADaRS,"{RADaRS,""Indiana University"",""research hub"",""secure research environment"",""dataset access""}",overview,researcher,{},intermediate,2026-02-02 11:38:13.390663,llama3.1:8b
210,10314,Database Backup at IU RDC,"{MySQL,""IU RDC"",""database backup"",mysqldump}",how-to,researcher,"{""understanding of MySQL database management"",""access to IU RDC""}",intermediate,2026-02-02 11:38:27.157994,llama3.1:8b
211,10316,Zoom,"{""Zoom meeting"",""join a meeting"",""IU account""}",how-to,student,"{""Install Zoom on a laptop, desktop, or mobile device"",""Have an IU account""}",intermediate,2026-02-02 11:38:28.166582,llama3.1:8b
212,10326,IU Software Licenses,"{Esri,GIS,""geodatabase management"",""ArcGIS Online""}",overview,researcher,"{""basic knowledge of GIS software""}",intermediate,2026-02-02 11:38:54.267343,llama3.1:8b
213,10329,HIPAA Compliance,"{""Microsoft Teams"",PHI,""HIPAA Security Rule""}",overview,faculty,"{""Understanding HIPAA regulations"",""Basic knowledge of Microsoft Teams""}",intermediate,2026-02-02 11:39:06.259411,llama3.1:8b
214,10334,Microsoft Teams at IU,"{""Microsoft Teams"",""collaboration tool"",""IU students"",faculty,staff,""external users""}",overview,unknown,{},beginner,2026-02-02 11:39:19.104845,llama3.1:8b
215,10335,Zoom Meetings,"{""zoom meetings"",recording,kaltura}",how-to,faculty,"{""using Zoom for videoconferencing"",""Kaltura account setup""}",intermediate,2026-02-02 11:39:31.215593,llama3.1:8b
216,10333,Zoom,"{Zoom,healthcare,HIPAA,PHI,""protected health information""}",overview,faculty,{},intermediate,2026-02-02 11:39:43.504308,llama3.1:8b
217,2408,Microsoft 365 Storage,"{""Microsoft 365"",OneDrive,""storage quotas"",""Indiana University""}",overview,unknown,{},intermediate,2026-02-02 11:39:55.140693,llama3.1:8b
218,10347,Remote Work,"{""remote work"",""working from home"",""technology requirements"",""IU-owned IT devices"",""Endpoint Detection and Response (EDR)"",CrowdStrike,""Windows Defender for Endpoints"",""Virtual Desktop Infrastructure"",IUanyWare}",reference,unknown,{},intermediate,2026-02-02 11:40:14.000513,llama3.1:8b
220,10383,Job Opportunities,"{""IU Bloomington"",""IU Indianapolis"",""UITS Support Center"",""job opportunities"",""consultant position""}",reference,admin,{},unknown,2026-02-02 11:40:35.946576,llama3.1:8b
221,10033,IU Accounts,"{""IU accounts"",""account types"",""account eligibility""}",overview,unknown,{},intermediate,2026-02-02 11:40:36.95606,llama3.1:8b
222,10458,HPSS and Data Transfer,"{""hpss_WriteList error -116"",""htar with SDA at IU"",""PHI encryption"",SFTP/SCP,""IU Globus Web App"",""HIPAA-regulated data""}",troubleshooting,researcher,"{""understanding of HIPAA regulations for PHI data"",""experience with SDA at IU and HPSS""}",intermediate,2026-02-02 11:41:08.398006,llama3.1:8b
223,11711,IU Account Security,"{""Indiana University account"",""foreign login alerts"",""University Information Security Office""}",how-to,student,{},beginner,2026-02-02 11:41:19.12159,llama3.1:8b
224,11713,IU Computing Systems,"{""IT Notices"",Status.IU,""UITS Support Center"",""Indiana University computing systems""}",overview,faculty,{},intermediate,2026-02-02 11:41:30.3835,llama3.1:8b
225,11714,IT Notices,"{""IT Notices"",Status.IU,""Indiana University computing systems"",""planned maintenance windows""}",overview,general,{},unknown,2026-02-02 11:41:43.182769,llama3.1:8b
226,10244,IU Knowledge Base Policies,"{""IU Knowledge Base"",terminology,spellings,capitalization,punctuation}",reference,general,{},beginner,2026-02-02 11:41:54.641917,llama3.1:8b
227,10388,Travel Security,"{""travel security"",""IT security checklist"",""general security"",email,""remote file access"",""powering devices"",""mobile and wireless devices"",laptops}",how-to,unknown,"{""basic understanding of IT security"",""familiarity with Duo Two-Step Login""}",intermediate,2026-02-02 11:42:14.154431,llama3.1:8b
228,10400,Zoom Meetings,"{Zoom,""meeting settings"",""standard meetings""}",overview,general,{},intermediate,2026-02-02 11:42:23.739312,llama3.1:8b
229,10406,Microsoft Information Protection,"{""sensitivity labels"",MIP,""Microsoft Information Protection""}",overview,researcher,{},intermediate,2026-02-02 11:42:34.189731,llama3.1:8b
230,10411,Learning Commons,"{""Indiana University Libraries"",""University Information Technology Services (UITS)"",""Herman B Wells Library""}",overview,student,{},unknown,2026-02-02 11:42:45.108499,llama3.1:8b
231,10413,Data Center Operations,"{""Indiana University Data Center"",""IU Data Center"",""UITS staff"",""equipment installation"",""data center access"",""operational procedures""}",overview,admin,{},intermediate,2026-02-02 11:42:46.121774,llama3.1:8b
232,10288,Zoom,"{zoom,desktop,mobile,""video conferencing""}",overview,general,{},beginner,2026-02-02 11:43:09.958555,llama3.1:8b
233,11724,IU Workstation Authentication,"{""IU workstation"",authentication,""certificate request""}",how-to,unknown,"{""domain-joined computer"",""domain user account""}",intermediate,2026-02-02 11:43:22.671568,llama3.1:8b
234,11725,IU IPsec Certificates,"{""IU IPsec certificate"",""offline request""}",how-to,faculty,"{""domain-joined computer"",""domain user account"",""UITS required workstation naming conventions""}",intermediate,2026-02-02 11:43:35.538154,llama3.1:8b
235,11726,Domain and Network Management,"{""IP address"",""domain name"",""system administrators"",""network responsibility""}",how-to,unknown,{},intermediate,2026-02-02 11:43:46.754585,llama3.1:8b
236,10429,SDA Connectivity Issues,"{SDA,""Scholarly Data Archive"",""connectivity issues"",""IU network""}",troubleshooting,student,"{""basic computer skills"",""familiarity with IU network""}",beginner,2026-02-02 11:44:00.233725,llama3.1:8b
237,10431,Scholarly Data Archive,"{""Archive directories"",SDA,""Data Storage"",""Tape-based backend""}",overview,researcher,{},intermediate,2026-02-02 11:44:11.627264,llama3.1:8b
238,11012,Accessible Documents in Canvas,"{Canvas,Accessibility,""PDF documents""}",how-to,faculty,"{""understanding of Canvas LMS""}",intermediate,2026-02-02 11:44:22.663131,llama3.1:8b
239,10434,File Transfer,"{""file transfer"",SFTP/SCP,""IU Globus Web App"",""HIPAA-regulated PHI"",""data encryption""}",how-to,admin,"{""file encryption methods"",""HIPAA regulations""}",intermediate,2026-02-02 11:44:36.572285,llama3.1:8b
240,10441,HIPAA Compliance,"{PHI,encryption,HSI,SFTP/SCP,""IU Globus Web App""}",troubleshooting,faculty,"{""HIPAA regulations"",""data encryption methods""}",intermediate,2026-02-02 11:44:50.133991,llama3.1:8b
241,10446,File Transfer,"{""Error -1 on transfer"",""Error -50 on transfer"",HSI,""IU SDA"",SFTP/SCP,""IU Globus Web App"",""HIPAA-regulated PHI""}",troubleshooting,faculty,"{""Understanding HIPAA regulations"",""Knowledge of IU storage systems"",""Experience with HSI or file transfer protocols""}",intermediate,2026-02-02 11:44:51.147417,llama3.1:8b
242,10451,File Transfer,"{""HSI/HTAR transfers"",""IU Scholarly Data Archive"",""firewall protection"",""HIPAA-regulated PHI"",SFTP/SCP,""IU Globus Web App""}",reference,unknown,"{""understanding of HIPAA regulations"",""knowledge of IU's Scholarly Data Archive""}",intermediate,2026-02-02 11:45:28.884063,llama3.1:8b
243,3280,Data Security and Compliance,"{""IU Scholarly Data Archive"",""Class of Service (CoS)"",PHI,HIPAA,Encryption,SFTP/SCP,""IU Globus Web App""}",how-to,faculty,"{""Understanding IU's Data Security Policy""}",intermediate,2026-02-02 11:45:46.263609,llama3.1:8b
244,10445,SDA Account Access,"{HSI,""IU SDA account"",SFTP/SCP,""IU Globus Web App"",""PHI encryption""}",reference,unknown,"{""understanding of IU's HSI system""}",intermediate,2026-02-02 11:46:03.83566,llama3.1:8b
245,10460,SDA File Transfer,"{""Indiana University Scholarly Data Archive"",SDA,""file transfer"",""staging files""}",how-to,faculty,"{""understanding of SDA file storage and retrieval process""}",intermediate,2026-02-02 11:46:17.145623,llama3.1:8b
246,10462,HSI Backup,"{HSI,backup,""data encryption"",PHI,HIPAA}",troubleshooting,faculty,"{""understanding of HSI backup process"",""familiarity with data encryption methods""}",intermediate,2026-02-02 11:46:31.12468,llama3.1:8b
247,10438,Storage Management,"{""Scholarly Data Archive"",""SDA account"",HSI,""du command""}",how-to,unknown,"{""access to SDA account"",""familiarity with HSI""}",intermediate,2026-02-02 11:46:44.925999,llama3.1:8b
248,3284,Scholarly Data Archive Policies,"{""scholarly data archive"",""terms of service"",policies}",reference,faculty,{},expert,2026-02-02 11:46:55.809081,llama3.1:8b
249,3282,Research Data Services,"{""Scholarly Data Share"",""SDS service"",""UITS Research Data Services team"",""Scholarly Data Archive"",""data-sharing service""}",overview,researcher,{},intermediate,2026-02-02 11:47:09.072104,llama3.1:8b
250,10490,Web Security Policy,"{""web security policy"",""information technology policies"",""web server administrators"",""authentication and authorization"",""data protection"",""scans and log monitoring""}",reference,admin,{},intermediate,2026-02-02 11:47:23.531886,llama3.1:8b
251,10469,Data Storage and Integrity,"{""data integrity"",""Indiana University"",IU,SDA,""Scholarly Data Archive"",HPSS}",overview,unknown,"{""understanding of IU research computing and storage systems""}",intermediate,2026-02-02 11:47:24.545479,llama3.1:8b
252,10475,Indiana Spatial Data Portal (ISDP) Usage,"{ISDP,""download issues"",troubleshooting,""GIS Help""}",troubleshooting,general,"{""understanding of ISDP interface and basic GIS concepts""}",intermediate,2026-02-02 11:47:52.051344,llama3.1:8b
253,10442,IU Research Computing,"{""Indiana University"",""Research Technologies"",""Scholarly Data Archive"",SFTP,SCP}",how-to,researcher,"{""Understanding sensitive institutional data at IU""}",intermediate,2026-02-02 11:48:04.940006,llama3.1:8b
254,10480,Kerberos Keytabs,"{keytabs,Kerberos,authentication,""IU SDA"",""Scholarly Data Archive""}",how-to,researcher,"{""basic understanding of Kerberos and authentication methods"",""knowledge of IU SDA and its services""}",intermediate,2026-02-02 11:48:22.408399,llama3.1:8b
255,10439,IU Computing Accounts,"{""Indiana University"",""Scholarly Data Archive (SDA)"",""computing accounts"",""research system accounts""}",how-to,unknown,"{""Computing accounts at IU"",""Get additional IU computing accounts""}",intermediate,2026-02-02 11:48:36.786939,llama3.1:8b
256,10487,Research Computing Accounts,"{""research computing accounts"",""IU research supercomputers"",""UITS Research Technologies""}",overview,researcher,{},beginner,2026-02-02 11:48:48.749237,llama3.1:8b
257,11729,Adobe Creative Cloud,"{""Adobe Creative Cloud"",""Adobe Acrobat"",IUanyWare,""sign in"",""sign out""}",how-to,student,"{""IU username"",passphrase,""IUanyWare access""}",beginner,2026-02-02 11:49:02.447682,llama3.1:8b
258,10341,Zoom at IU,"{Zoom,IU,""software update""}",overview,faculty,{},beginner,2026-02-02 11:49:12.005671,llama3.1:8b
259,11730,Adobe Software Management,"{Adobe,""Creative Cloud"",""software management""}",overview,student,"{""IU's Adobe Creative Cloud license"",""concurrent active instances of Creative Cloud""}",intermediate,2026-02-02 11:49:24.153755,llama3.1:8b
260,10517,Cloud Storage Comparison,"{""cloud storage"",""IU cloud services"",""google my drive"",""microsoft onedrive"",accessibility,""screen readers""}",overview,unknown,"{""basic understanding of cloud storage concepts"",""familiarity with accessibility considerations""}",intermediate,2026-02-02 11:49:39.845347,llama3.1:8b
261,11732,Adobe Software,"{""Adobe Creative Cloud"",""Indiana University"",Licensing,Installation}",overview,general,{},unknown,2026-02-02 11:49:40.85892,llama3.1:8b
262,10527,Google Storage and Security,"{Google,""IU Secure Storage"",""data protection"",""folder ownership"",""shared storage""}",reference,faculty,"{""understanding of Google Drive"",""knowledge of IU's Google platform limitations""}",intermediate,2026-02-02 11:50:04.345565,llama3.1:8b
263,10530,IT Equipment Order Form,"{""IU School of Medicine"",""IT Equipment Order form"",""lifecycle funding"",""Dell Latitude 7440 laptop"",""WD22TB4 docking station""}",overview,faculty,{},intermediate,2026-02-02 11:50:17.902914,llama3.1:8b
264,10532,IT Equipment Order Form,"{""IT equipment"",""order form"",""lifecycle requests""}",overview,general,{},beginner,2026-02-02 11:50:28.068867,llama3.1:8b
265,10941,MySQL RDC Connection,"{ODBC,MySQL,""IU RDC"",Windows}",how-to,unknown,"{""basic knowledge of MySQL"",""remote database connection""}",intermediate,2026-02-02 11:50:40.806333,llama3.1:8b
266,11719,IU Network Management,"{""Rogue DHCP Servers"",""IU Network"",UITS}",overview,admin,"{""basic knowledge of networking""}",intermediate,2026-02-02 11:50:51.903766,llama3.1:8b
267,10944,Data Virtualization at IU,"{Denodo,""data virtualization"",""data integration"",IU}",overview,unknown,{},intermediate,2026-02-02 11:51:03.898337,llama3.1:8b
268,10535,Collaboration Tools,"{""whiteboard tools"",""IU collaboration software"",""Microsoft Whiteboard"",""Zoom Whiteboard""}",overview,faculty,{},intermediate,2026-02-02 11:51:15.161039,llama3.1:8b
269,10539,IU Common Build,"{Apple,macOS,""IU Common Build""}",how-to,admin,"{macOS,""IU Common Build setup""}",intermediate,2026-02-02 11:51:26.592704,llama3.1:8b
270,10554,Cloud Storage,"{""IU Cloud Storage"",""individual storage"",""institutional storage"",""Microsoft Teams"",""Google Drive""}",how-to,student,"{""IUanyWare Desktop access"",""IU account setup""}",intermediate,2026-02-02 11:51:39.838807,llama3.1:8b
271,10495,File Upload,"{""Microsoft Forms"",""Google Forms"",OneDrive,""Google My Drive""}",how-to,researcher,"{""IU Microsoft 365 or Google at IU accounts""}",intermediate,2026-02-02 11:51:40.853104,llama3.1:8b
272,10560,IU Learning Tools,"{accessibility,privacy,""IU learning tools"",""Quality Matters""}",overview,unknown,{},beginner,2026-02-02 11:52:05.672778,llama3.1:8b
273,10567,Microsoft Teams File Management,"{""File visibility"",""Microsoft Teams"",""SharePoint Online""}",overview,general,{},intermediate,2026-02-02 11:52:16.014191,llama3.1:8b
274,10568,Service Routing,"{""Advanced Diagnostics"",ServiceNow,routing,""service support""}",overview,admin,{},intermediate,2026-02-02 11:52:26.545277,llama3.1:8b
275,11041,UITS Staff Management,"{""UITS staff"",permissions,units,people,""IT leaders""}",overview,admin,{},intermediate,2026-02-02 11:52:37.512148,llama3.1:8b
276,11049,Disability Support,"{disabilities,accommodations,students,testing,proctoring,""computerized assistance"",""classroom accommodations""}",overview,student,{},unknown,2026-02-02 11:52:51.876732,llama3.1:8b
277,10576,ArcGIS_Pro,"{""ArcGIS Pro"",IUanyWare,""Citrix Workspace"",""file management""}",reference,student,"{""Set up and use IUanyWare"",""Understanding of Citrix Workspace basics""}",intermediate,2026-02-02 11:53:05.431244,llama3.1:8b
309,10733,Troubleshooting Classroom Technology,"{troubleshooting,""classroom technology"",""collaboration technologies"",""learning spaces""}",troubleshooting,faculty,{},beginner,2026-02-02 11:59:40.997449,llama3.1:8b
278,10577,File Sharing and Collaboration,"{""IU Secure Storage"",""Microsoft at IU Secure Storage"",""Google at IU Secure Storage"",""institutional data""}",overview,researcher,{},intermediate,2026-02-02 11:53:18.759616,llama3.1:8b
279,10580,Azure Active Directory,"{""Microsoft Entra ID"",""Azure Active Directory"",AAD,""Microsoft 365 service policies"",IU}",reference,admin,"{""general knowledge of Azure Active Directory""}",intermediate,2026-02-02 11:53:31.686247,llama3.1:8b
280,10593,Microsoft Storage,"{permissions,""Microsoft Storage"",""folder-level permissions"",""team-level permissions""}",overview,researcher,"{""understanding Microsoft OneDrive at IU"",""knowledge of Microsoft Teams at IU""}",intermediate,2026-02-02 11:53:44.886844,llama3.1:8b
281,2456,Campus Wireless Network,"{""IU VPN"",""SSL VPN"",""campus wireless network"",""group accounts"",""network policy""}",policy,faculty,{},unknown,2026-02-02 11:53:45.900265,llama3.1:8b
282,10597,Microsoft Teams Call Quality Dashboard,"{""Microsoft Teams"",""Call Quality Dashboard"",IUanyWare,Windows,""Power BI Desktop""}",reference,admin,"{""Microsoft Teams setup"",""Teams admin roles and permissions""}",intermediate,2026-02-02 11:54:14.238689,llama3.1:8b
283,10598,Cloud Storage Migration,"{""Google Cloud"",""Microsoft Storage"",""Manual Migration"",IUanyWare}",how-to,faculty,"{""Determine whether your files are individual (personal) or institutional""}",intermediate,2026-02-02 11:54:28.933992,llama3.1:8b
